class_name,dosage,use,price,side_effects,dosage_form,Scientific_Name,max_dose,administration,indications,precautions,serious_effects,contraindications,Source_of_information
Brufan,600mg,"Reduces pain, inflammation, and fever.",Approximately Rs.4 per pill.,"Stomach irritation, nausea, dizziness, headache.","Tablets, oral suspension.",Ibuprofen,Adults: 1200 mg/day; Children: 40 mg/kg/day.,Oral intake; may be taken with or without food.,"Pain relief (headache, dental pain, muscle pain), anti-inflammatory for conditions like arthritis, fever reduction.",Use the lowest effective dose for the shortest duration; monitor for gastrointestinal issues.,"Gastrointestinal bleeding, kidney damage, liver dysfunction.","Hypersensitivity to ibuprofen or other NSAIDs, active gastrointestinal bleeding, severe heart failure, liver or kidney impairment.","RxList,MIMS, Medicines.org.uk"
Paracetamol,500mg per tablet ,Pain and fever relief,Approximately Rs.2 per pill.,Rare: May Include allergic reactions.,"Tablets, oral suspension, suppositories.",also known as Acetaminophen in the US and Canada,Adults: 4000 mg/day; Children: 75 mg/kg/day.,Oral intake; may be taken with or without food.,"Mild to moderate pain relief (headache, menstrual pain, toothache), fever reduction.",Avoid exceeding recommended dose to prevent liver damage.," Liver toxicity, especially with overdose or chronic use.","Severe liver disease, hypersensitivity to paracetamol.",
Aspirin,325 mg,"Pain relief, anti-inflammatory, heart attack and stroke prevention",Rs.3 per pill,"Gastric irritation, gastrointestinal bleeding, allergic reactions."," Tablets, chewable tablets, enteric-coated tablets, suppositories.",Acetylsalicylic Acid,Adults: 4000 mg/day; for cardiovascular prevention: 75-81 mg/day.,Oral intake; take with a full glass of water.," Pain relief (headache, muscle pain), anti-inflammatory for conditions like arthritis, cardiovascular protection (heart attack, stroke).",Use with caution in individuals with gastrointestinal issues or bleeding disorders.,"Gastrointestinal bleeding, Reye s syndrome in children with viral infections.","Hypersensitivity to aspirin, history of gastrointestinal bleeding, children with viral infections","RxList, MedicineNet,Drugs.com"
unknown,Not a medicine,Not a medicine,Not a medicine,Not a medicine,Not a medicine,Not a medicine,Not a medicine,Not a medicine,Not a medicine,Not a medicine,Not a medicine,Not a medicine,Not a medicine
Diclofenac,50-75 mg orally 2-3 times daily (maximum 150 mg per day),"Pain relief, inflammation reduction in conditions like arthirits, muscle pain, menstrual cramps, gout, migrane",Rs.4 per pill,"Nausea, heartburn, dizziness, stomach upset, headache, skin rash."," Tablets, capsules, injections, creams, suppositories.",Diclofenac Sodium or Diclofenac Potassium,"Usually 150 mg/day orally, 75 mg/day intramuscularly.",Oral intake; take with a full glass of water.,"Rheumatoid arthritis, osteoarthritis, ankylosing spondylitis, acute pain, dysmenorrhea, post-operative pain.","	Use cautiously in hypertension, heart disease, GI ulcers, asthma, renal impairment.","	Stomach bleeding, liver damage, kidney problems, heart attack, stroke, anaphylaxis.","Known allergy to NSAIDs, history of asthma induced by NSAIDs, active peptic ulcer, severe heart failure, late pregnancy (3rd trimester)","Drugs.com, MedinePlus, BNF"
Amoxicillin,Adults: 250–500 mg every 8 hours or 500–875 mg every 12 hours.Children: 20–45 mg/kg/day in divided doses.,"Treatment of bacterial infections: respiratory tract infections, urinary tract infections, skin infections, otitis media, sinusitis, dental abscess","Approx. Rs. 5–12 per 500 mg capsule/tablet, depending on brand","Nausea, diarrhea, skin rash, vomiting, headache, changes in taste","	Tablets, capsules, oral suspension, chewable tablets, injections",Amoxicillin (a semi-synthetic penicillin),Up to 4 g/day for adults in severe infections,"Oral (preferably before meals), or intravenous in hospital settings","Bacterial infections including pneumonia, bronchitis, tonsillitis, UTIs, ENT infections, Helicobacter pylori eradication","Use with caution in renal impairment, history of allergy to penicillin, monitor for superinfections","Anaphylaxis, Clostridium difficile-associated diarrhea, liver dysfunction, blood disorders","Known hypersensitivity to penicillins or beta-lactam antibiotics, history of severe allergic reaction","Drugs.com, MedinePlus, BNF"
Azithromycin,"	Adults: 500 mg on day 1, followed by 250 mg once daily on days 2–5. Or 500 mg once daily for 3 days depending on infection.","Treats respiratory infections (bronchitis, pneumonia), sinusitis, skin infections, STDs, ear infections, throat infections","Around Rs. 40–90 per 500 mg tablet, depending on brand","Nausea, diarrhea, stomach pain, vomiting, headache, dizziness","Tablets, oral suspension, powder for suspension, injections",Azithromycin Dihydrate (common form),"Typically 500 mg/day, up to 2 g single dose for certain STDs (under supervision)","Orally, 1 hour before or 2 hours after meals; IV in hospital settings","Community-acquired pneumonia, pharyngitis, tonsillitis, skin infections, chlamydia, gonorrhea, sinusitis, otitis media","Use cautiously in liver disease, prolonged QT interval, kidney disease, myasthenia gravis","QT prolongation, hepatotoxicity, Clostridium difficile-associated diarrhea, allergic reactions","Hypersensitivity to macrolides, history of jaundice or liver dysfunction with prior azithromycin use","Drugs.com, PubChem, BNF"
Doxycycline,"	Adults: 100 mg twice daily on day 1, then 100 mg once daily (or 50 mg twice daily).Severe infections: Continue 100 mg twice daily.","Treats bacterial infections, acne, malaria prophylaxis, chlamydia, gonorrhea, periodontitis, respiratory infections, Lyme disease","Approx. Rs. 10–25 per 100 mg capsule/tablet, depending on the brand","Nausea, vomiting, diarrhea, photosensitivity, esophagitis, abdominal pain","Tablets, capsules, oral suspension, injection, delayed-release tablets",Doxycycline hyclate or Doxycycline monohydrate,"Generally 200 mg/day, but may vary based on indication","Oral (with a full glass of water, sitting upright), preferably with food to reduce GI upset; IV for hospital use","Acne vulgaris, sexually transmitted infections, anthrax, rickettsial infections, cholera, malaria prevention, respiratory tract infections","Use caution in liver impairment, photosensitivity, avoid in pregnancy and children under 8 unless essential","Hepatotoxicity, intracranial hypertension, esophageal ulceration, severe skin reactions, superinfections","Hypersensitivity to tetracyclines, pregnancy, children <8 years (due to permanent teeth discoloration and bone growth inhibition)","Drugs.com, PubChem, BNF"
Losartan,Adults: Starting dose usually 50 mg once daily; maintenance dose 25–100 mg/day in 1 or 2 divided doses.For elderly or liver impairment: Start with 25 mg.,"Treatment of hypertension (high blood pressure), heart failure, diabetic nephropathy, and to reduce the risk of stroke in patients with hypertension","Approx. Rs. 15–40 per 50 mg tablet, depending on the brand (e.g., Cozaar, Losan, Losartas)","Dizziness, fatigue, upper respiratory infection, low blood pressure, back pain, increased potassium levels","Tablets (25 mg, 50 mg, 100 mg); sometimes available in combination with hydrochlorothiazide",Losartan potassium,100 mg/day (can be given as 50 mg twice daily or 100 mg once daily),"Oral, with or without food; taken once or twice daily",- Essential hypertension- Heart failure (with ACE intolerance)- Chronic kidney disease in diabetes- Stroke risk reduction,"- Monitor in renal/hepatic impairment, electrolyte imbalance, volume depletion- Avoid potassium supplements unless prescribed","Hyperkalemia, angioedema, renal impairment, hypotension, fetal toxicity (during pregnancy)",- Pregnancy (especially 2nd and 3rd trimester)- Known hypersensitivity- Severe liver dysfunction,"Drugs.com, PubChem, BNF"
Athenolol,Adults: Starting dose 25–50 mg once daily; maintenance dose 50–100 mg/day. Max dose generally 100 mg/day. Adjust for renal impairment.,"Management of hypertension, angina pectoris, post-myocardial infarction care, and certain cardiac arrhythmias","Approx. Rs. 4–10 per 50 mg tablet, depending on brand and availability in Sri Lanka","Fatigue, dizziness, cold extremities, slow heart rate, nausea, sleep disturbances","Tablets (25 mg, 50 mg, 100 mg); injection form available in hospitals",Atenolol,100 mg/day (sometimes divided into 50 mg twice daily),Oral; can be taken with or without food; typically once daily at the same time,"- Hypertension
- Angina pectoris
- Post-myocardial infarction
- Supraventricular tachycardia (off-label)
- Migraine prophylaxis (off-label)","- Use cautiously in patients with asthma, diabetes, or heart failure
- May mask hypoglycemia symptoms
- Do not discontinue abruptly","Bradycardia, hypotension, heart block, bronchospasm, exacerbation of heart failure","- Sinus bradycardia
- Heart block (2nd or 3rd degree)
- Cardiogenic shock
- Overt cardiac failure
- Hypersensitivity to atenolol","BNF, Drugs.com, MedlinePlus, WHO ATC Index"
